(1983)	anonymous1983	Chinese
Leidy (1855)	Leidy1855	English
Leidy (1888)	Leidy1888	English
Leiendecker & Leiendecker (1982)	Leiendecker1982	
Leiendecker (1983)	Leiendecker1983	German
Leija-Tristán et al. (1990)	LeijaTristan1990	Spanish [with English abstract/summary]
Lemaitre & Alvarez Leon (1992)	Lemaitre1992	Spanish [with English abstract/summary]
Lemos de Castro (1962)	LemosDeCastro1962	Portuguese
Lemos de Castro (1973)	LemosDeCastro1973	
Lenz (1905)	Lenz1905	German
Lenz (1910)	Lenz1910	German
Lenz & Richters (1881)	Lenz1881	German
Lesser et al. (1976)	Lesser1976	English
Lesueur et al. (2013)	Lesueur2013	English
Letzsch & Frey (1980)	Letzsch1980	
Leuven et al. (1982)	Leuven1982	
Levin et al. (1996)	Levin1996	
Levinton (2016)	Levinton2016	English
Levinton & Allen (2005)	Levinton2005	
Levinton & Judge (1993)	Levinton1993	
Levinton et al. (1995)	Levinton1995	
Levinton et al. (2015)	Levinton2015	
Levinton & Mackie (2013)	Levinton2013	English
Levinton et al. (2010)	Levinton2010	English
Levinton et al. (1996)	Levinton1996	English
Lewinsohn (1977)	Lewinsohn1977	German
Li (1996)	Li1996	
Li (1991)	Li1991	Chinese
Li & Sun (2013)	Li2013	Chinese
Li et al. (2014)	Li2014	English
Liao et al. (2008)	Liao2008	
Lichtwardt (1976)	Lichtwardt1976	English
Lichtwardt et al. (2001)	Lichtwardt2001	English
Lim (2004)	Lim2004	
Lim (2006)	Lim2006	
Lim & Diong (2003)	Lim2003	
Lim & Heng (2007)	Lim2007.1	
Lim et al. (2015)	Lim2015	English
Lim & Kalpana (2011)	Lim2011	
Lim et al. (2005)	Lim2005	
Lim & Lim (2008)	Lim2008	
Lim & Rosiah (2007)	Lim2007.2	
Lim & Wong (2010)	Lim2010	
Lin (1949)	Lin1949	English
Lin (1986)	Lin1986	
Lin et al. (2002)	Lin2002	
Lin & Lin (2015)	Lin2015	Chinese and English
Liñán-Cabello et al. (2002)	LinanCabello2002	
Lindblad (1969)	Lindblad1969	English
Linnaeus (1758)	Linnaeus1758	Latin
Linnaeus (1763)	Linnaeus1763	Latin
Linnaeus (1764)	Linnaeus1764	Latin
Linnaeus (1766)	Linnaeus1766	Latin
Lipcius (1985)	Lipcius1985	English
Lipschitz et al. (1975)	Lipschitz1975	
Lira et al. (2006)	Lira2006	Spanish [with English abstract/summary]
Lira et al. (2013)	Lira2013	English
Little & Epifanio (1991)	Little1991	
Litulo (2004)	Litulo2004.2	
Litulo (2004)	Litulo2004.1	English
Litulo (2004)	Litulo2004.3	
Litulo (2005)	Litulo2005.1	
Litulo (2005)	Litulo2005.3	
Litulo (2005)	Litulo2005.2	
Litulo (2006)	Litulo2006	
Liu & Li (1994)	Liu1994	Chinese
Liu et al. (2014)	Liu2014	English
Liu (1997)	Liu1997	English
Liu & Laufer (1996)	Liu1996	
Lobo et al. (2014)	Lobo2014	English
Lochhead (1961)	Lochhead1961	English
Lockington (1877)	Lockington1877.1	English
Lockington (1877)	Lockington1877.2	English
Lockwood (1962)	Lockwood1962	English
Lockwood (1967)	Lockwood1967	English
Loeb & Maxwell (1896)	Loeb1896	German
Loesel (2004)	Loesel2004	
Long & Burke (2007)	Long2007	
Longhurst (1958)	Longhurst1958	English
López-Duarte (2008)	LopezDuarte2008	English
López-Duarte et al. (2011)	LopezDuarte2011	
López-Duarte & Tankersley (2005)	LopezDuarte2005	English
López-Duarte & Tankersley (2007)	LopezDuarte2007	
López-Duarte & Tankersley (2009)	LopezDuarte2009.2	
López-Duarte & Tankersley (2009)	LopezDuarte2009.1	English
Lord (1867)	Lord1867	English
Lotz et al. (1995)	Lotz1995	
Lourenço et al. (2017)	Lourenco2017	English
Lourenço et al. (2000)	Lourenco2000	English
Lowder et al. (2017)	Lowder2017	English
Lowe et al. (1971)	Lowe1971	
Lu et al. (1997)	Lu1997	
Lucu (1990)	Lucu1990	
Luederwaldt (1919)	Luederwaldt1919.2	Portuguese
Luederwaldt (1919)	Luederwaldt1919.1	Portuguese
Luederwaldt (1929)	Luederwaldt1929	Portuguese
Luk & Zajac (2013)	Luk2013	English
Lukhaup & Pekny (2004)	Lukhaup2004	
Lundoer (1974)	Lundoer1974	English
Luo et al. (2015)	Luo2015	English
Luo et al. (2016)	Luo2016	English
Luque et al. (2017)	Luque2017	English
Luque et al. (2015)	Luque2015	English
Luquet et al. (1992)	Luquet1992	
Luquet et al. (1995)	Luquet1995	
Luquet et al. (1997)	Luquet1997	
Lüschen et al. (1991)	Luschen1991	
Lutz (1912)	Lutz1912	Portuguese and German
Lyon (1899)	Lyon1899	English
Maccagno (1928)	Maccagno1928	Italian
Mace & McGraw (1985)	Mace1985	English
Mace & Curran (2011)	Mace2011	
Machado et al. (2013)	Machado2013	English
Macia et al. (2001)	Macia2001	
Macintosh (1977)	Macintosh1977	
Macintosh (1978)	Macintosh1978	
Macintosh (1979)	Macintosh1979	
Macintosh (1979)	Macintosh1979.2	
Macintosh (1982)	Macintosh1982	
Macintosh (1984)	Macintosh1984	English
Macintosh (1988)	Macintosh1988	
Macintosh et al. (2002)	Macintosh2002	
MacLeay (1838)	MacLeay1838	English
Macnae (1963)	Macnae1963	English
Macnae (1966)	Macnae1966	English
Macnae (1967)	Macnae1967	English
Macnae (1968)	Macnae1968	English
Macnae & Kalk (1958)	Macnae1958	English
Macnae & Kalk (1962)	Macnae1962	English
Macnae & Kalk (1969)	Macnae1969	
Maginnis et al. (2015)	Maginnis2015	English
Maitland (1990)	Maitland1990	
Maki & Tsuchiya (1923)	Maki1923.1	Japanese
Maloney et al. (1989)	Maloney1989	English
Malzone et al. (1966)	Malzone1966	English
Mancini (1992)	Mancini1992	
Mangerich et al. (1987)	Mangerich1987	
Mangum (1973)	Mangum1973	English
Mangum (1992)	Mangum1992	English
Mangum (1993)	Mangum1993.1	
Mangum (1993)	Mangum1993.2	English
Mangum (1996)	Mangum1996.3	
Mangum & Greaves (1996)	Mangum1996.1	
Mangum & McKenney (1996)	Mangum1996.2	
Mangum & Reese (1990)	Mangum1990	English
Manning & Holthuis (1981)	Manning1981	
Mantel (1992)	Mantel1992	English
Mantel & Farmer (1983)	Mantel1983	English
Mantel & Levin (1973)	Mantel1973	English
Mantel & Olson (1976)	Mantel1976	English
Manwell & Baker (1963)	Manwell1963	English
Marcgrave (1648)	Marcgrave1648	Latin
Marguillier et al. (1997)	Marguillier1997	
Marinucci & Bartha (1982)	Marinucci1982	
Maris (1984)	Maris1984	English
Maris & McConaugha (1983)	Maris1983	English
Markham (2002)	Markham2002	
Markl (1986)	Markl1986	
Marler (1977)	Marler1977	English
Marochi et al. (2017)	Marochi2017	English
Marshall et al. (2015)	Marshall2015	English
Marshall & Orr (1960)	Marshall1960	English
Martin & Rindsberg (2008)	Martin2008	English
Martin & Rindsberg (2010)	Martin2010	English
Martin et al. (1984)	Martin1984	
Martínez (2004)	Martinez2004	
Martins & Masunari (2013)	Martins2013	English
Martins et al. (1959)	Martins1959	Portuguese
Martins-Neto (2001)	MartinsNeto2001	
Martins-Neto (2005)	MartinsNeto2005	Portuguese [with English abstract/summary]
Masunari et al. (2015)	Masunari2015	English
Masunari (2006)	Masunari2006	Portuguese [with English abstract/summary]
Masunari (2012)	Masunari2012	
Masunari & Dissenha (2005)	Masunari2005.1	
Masunari et al. (2005)	Masunari2005.2	
Masunari & Swiech-Ayoub (2003)	Masunari2003	Portuguese [with English abstract/summary]
Mat et al. (2017)	Mat2017	English
Matsumasa et al. (2002)	Matsumasa2002	English
Matsumasa & Murai (2005)	Matsumasa2005	
Matsumasa et al. (2013)	Matsumasa2013	
Matsuo et al. (2015)	Matsuo2015	English
Matthews (1930)	Matthews1930	English
Mattson (1988)	Mattson1988	
Maurer et al. (1978)	Maurer1978	
Mautz et al. (2011)	Mautz2011	
Mayer (1905)	Mayer1905	English
Mayes & Govind (1988)	Mayes1988	
McCallum et al. (1989)	McCallum1989	English
McCallum et al. (1988)	McCallum1988	English
McCallum et al. (1991)	McCallum1991	
McCarty et al. (1985)	McCarty1985	English
McConaugha (1992)	McConaugha1992	English
McConnell & Shelby (1970)	McConnell1970	English
McCraith (1998)	McCraith1998	English
McCraith et al. (2003)	McCraith2003	
McCullough et al. (2016)	McCullough2016	English
McDermott & Pope (2010)	McDermott2010	English
McEnerney & Davis (1977)	McEnerney1977	
McEnerney & Davis (1979)	McEnerney1979	
McFadden & Thurman (2003)	McFaddon2003	English
McGrath et al. (1994)	McGrath1994	
McIvor & Smith (1995)	McIvor1995	
McKeller & Vernberg (1981)	McKeller1981	
McKenney et al. (1996)	McKenney1996	English
McKeon & Feller (2004)	McKeon2004	
McLain et al. (2015)	McLain2015	English
McLain et al. (2010)	McLain2010.1	
McLain & Pratt (2007)	McLain2007	
McLain & Pratt (2008)	McLain2008	
McLain & Pratt (2010)	McLain2010.2	
McLain & Pratt (2011)	McLain2011	
McLain et al. (2003)	McLain2003	
McLain et al. (2005)	McLain2005	
McMahon & Burggren (1988)	McMahon1988	English
McMahon et al. (1990)	McMahon1990	English
McNamara (1981)	McNamara1981	
McNamara & Moreira (1983)	McNamara1983	
McNeil et al. (1995)	McNeil1995.1	
McNeil et al. (1992)	McNeil1992	English
McNeil & Rompré (1995)	McNeil1995.2	English
McNeill (1920)	McNeill1920	English
McNeill (1962)	McNeill1962	English
McNeill (1968)	McNeil1968	English
McVay (1997)	McVay1997	English
Medina (1992)	Medina1992.1	
Medina & Rodríguez (1992)	Medina1992.3	
Medina & Rodríguez (1992)	Medina1992.2	English
Megušar (1908)	Megusar1908	German
Megušar (1912)	Megusar1912	German
Meinertzagen & Feare (1985)	Meinertzagen1985	English
Meiss & Norman (1977)	Meiss1977	English
Melo (1996)	Melo1996	Portuguese
Melville & Choi (2013)	Melville2013	English
Melville & Smith (1987)	Melville1987	English
Memmott & Briffa (2015)	Memmott2015	English
Mendes & Soares-Gomes (2013)	Mendes2013	English
Meng & Zou (2007)	Meng2007	English
Meng & Zou (2009)	Meng2009.1	
Meng & Zou (2009)	Meng2009.3	English
Meng & Zou (2009)	Meng2009.2	
Mengersen & Schmid (2013)	Mengersen2013	English
Mense et al. (1995)	Mense1995	
Menzel (1971)	Menzel1971	
Menzies & George (1972)	Menzies1972	English
Mertens (1940)	Mertens1940	German
Merz et al. (1999)	Merz1999	English
Mesterton-Gibbons & Sherratt (2009)	MestertonGibbons2009	
Meyerriecks (1965)	Meyerriecks1965	English
Meziane et al. (2006)	Meziane2005	
Meziane et al. (2002)	Meziane2002	
Meziane & Tsuchiya (2000)	Meziane2000	
Meziane & Tsuchiya (2002)	Meziane2002.2	
Michaels & Zieman (2002)	Michaels2002	English
Michaels & Zieman (2004)	Michaels2004	English
Michaels & Zieman (2013)	Michaels2013	English
Michelangeli & Wong (2014)	Michelangeli2014	English
Michie et al. (2015)	Michie2015	English
Miers (1877)	Miers1877	English
Miers (1879)	Miers1879.2	English
Miers (1879)	Miers1879.1	English
Miers (1880)	Miers1880	English
Miers (1881)	Miers1881	English
Miers (1884)	Miers1884.1	English
Miers (1884)	Miers1884.2	English
Miers (1886)	Miers1886	English
Milke & Kennedy (2001)	Milke2001	
Miller (1961)	Miller1961	English
Miller (1965)	Miller1965	English
Miller (1969)	Miller1969	English
Miller (1973)	Miller1973.1	English [with French abstract/summary]
Miller & Vernberg (1967)	Miller1967	English
Miller & Vernberg (1968)	Miller1968	English
Miller & Maurer (1973)	Miller1973.2	English
Miller et al. (2013)	Miller2013	English
Milne Edwards (1837)	MilneEdwards1837.2	French
Milne Edwards (1837)	MilneEdwards1837.1	French
Milne Edwards (1852)	MilneEdwards1852	French
Milne Edwards (1853)	MilneEdwards1853	French
Milne Edwards (1854)	MilneEdwards1854.2	French
Milne Edwards (1854)	MilneEdwards1854.1	French
Milne Edwards & Lucas (1843)	MilneEdwards1843	French
Milne-Edwards (1862)	MilneEdwards1862	French
Milne-Edwards (1868)	MilneEdwards1868	French
Milne-Edwards (1873)	MilneEdwards1873	French
Milne-Edwards & Bouvier (1923)	MilneEdwards1923	French
Milner (2012)	Milner2012.1	
Milner et al. (2010)	Milner2010.1	
Milner et al. (2010)	Milner2010.2	
Milner et al. (2010)	Milner2010.3	
Milner et al. (2008)	Milner2008	
Milner et al. (2010)	Milner2010.4	
Milner et al. (2010)	Milner2010.5	
Milner et al. (2011)	Milner2011.1	
Milner et al. (2011)	Milner2011.2	
Milner et al. (2012)	Milner2012.2	
Milograna et al. (2016)	Milograna2016	English
Minello et al. (1994)	Minello1994	English
Minemizu (2000)	Minemizu2000	Japanese
Miranda & Collazo (1997)	Miranda1997	
Mittenthal (1985)	Mittenthal1985	English
Miyajima & Wada (2015)	Miyajima2015	English
Miyake (1936)	Miyake1936	English
Miyake (1938)	Miyake1938	English
Miyake (1939)	Miyake1939	English
Miyake (1961)	Miyake1961	
Miyake (1963)	Miyake1963	
Miyake (1983)	Miyake1983	
Miyawaki & Tsurada (1985)	Miyawaki1985	English
Moffett (1985)	Moffett1985	English
Moffett (1987)	Moffett1987	
Moh et al. (2015)	Moh2015	English
Mohrherr (1984)	Mohrherr1984	English
Mohrherr (1987)	Mohrherr1987	
Mohrherr & Rao (1985)	Mohrherr1985	English
Mohrherr & Rao (1986)	Mohrherr1986	
Mohrherr et al. (1990)	Mohrherr1990	English
Mokhlesi et al. (2011)	Mokhlesi2011	
Mokhtari et al. (2015)	Mokhtari2015	English
Mokhtari et al. (2008)	Mokhtari2008	
Mokievsky et al. (2011)	Mokievsky2011	
Molina (1810)	Molina1810	Italian
Moline & Netzer (2000)	Moline2000	
Monod (1923)	Monod1923	French
Monod (1927)	Monod1927	French
Monod (1929)	Monod1929	French
Monod (1931)	Monod1931	French
Monod (1933)	Monod1933	French
Monod (1956)	Monod1956	French
Monod & Nicou (1959)	Monod1959	French
Monserrat & Rodríguez (1995)	Monserrat1995	
Montague (1980)	Montague1980.1	English
Montague (1980)	Montague1980.2	English
Montague (1982)	Montague1982	English
Montero & al. (1983)	Montero1983	Spanish
Mookui et al. (2012 [2555])	Mookui2012	Thai [with English abstract/summary]
Mooney & Herreid (1982)	Mooney1982	English
Mooney & Herreid (1983)	Mooney1983	English
Moore (1990)	Moore1990	English
Moore (1991)	Moore1991	English
Moore et al. (1968)	Moore1968	English
Moreira (1901)	Moreira1901	Portuguese
Morgan (1990)	Morgan1990.1	
Morgan (1987)	Morgan1987.1	
Morgan (1987)	Morgan1987.2	
Morgan (1990)	Morgan1990.2	
Morgan (1992)	Morgan1992	
Morgan (1994)	Morgan1994.1	
Morgan (1996)	Morgan1996.1	
Morgan & Anastasia (2008)	Morgan2008	
Morgan & Christy (1994)	Morgan1994.2	
Morgan & Christy (1995)	Morgan1995	
Morgan & Christy (1996)	Morgan1996.2	
Morgan & Christy (1997)	Morgan1997	
Morgan & McAfee (1993)	Morgan1993	English
Morgan (1904)	Morgan1904	English
Morgan (1919)	Morgan1919	English
Morgan (1920)	Morgan1920	English
Morgan (1921)	Morgan1921	English
Morgan (1923)	Morgan1923.1	English
Morgan (1923)	Morgan1923.2	English
Morgan (1924)	Morgan1924	English
Moriyama et al. (2016)	Moriyama2016	English
Morrell et al. (2005)	Morrell2005	
Morrier & McNeil (1991)	Morrier1991	English
Morrisey et al. (1999)	Morrisey1999	English
Mortin & Marder (1991)	Mortin1991	
Morton & Morton (1983)	Morton1983	
Morton & Morton (1994)	Morton1994	
Moscoso (2012)	Moscoso2012	Spanish [with English abstract/summary]
Moscoso (2013)	Moscoso2013	Spanish [with English abstract/summary]
Mourente et al. (1994)	Mourente1994	English
Mouton & Felder (1995)	Mouton1995	
Mouton & Felder (1996)	Mouton1996	
Mowles et al. (2017)	Mowles2017	English
Moyano et al. (2014)	Moyano2014	English
Mraz et al. (2005)	Mraz2005	English
Mrozek (1981)	Mrozek1981	English
Müller (1864)	Muller1864	German
Müller (1869)	Muller1869	English
Müller (1881)	Muller1881	German
Müller (1887)	Muller1887	German
Müller (1983)	Muller1983	German [with English abstract/summary]
Müller (1989)	Muller1989	German [with English abstract/summary]
Mulstay (1987)	Mulstay1987	
Munguia et al. (2017)	Munguia2017.2	English
Munguia et al. (2017)	Munguia2017	English
Munguia et al. (2013)	Munguia2013	English
Murai (1992)	Murai1992	
Murai & Backwell (2005)	Murai2005	
Murai & Backwell (2006)	Murai2006	
Murai et al. (2009)	Murai2009	
Murai & Goshima (1987)	Murai1987.2	English
Murai et al. (1987)	Murai1987.1	
Murai et al. (1996)	Murai1996	
Murai et al. (1982)	Murai1982	
Murai et al. (1983)	Murai1983	
Murai et al. (1995)	Murai1995	
Murai et al. (2002)	Murai2002	
Murakami et al. (2017)	Murakami2017	English
Murakami & Wada (2015)	Murakami2015	English
Muramatsu (2017)	Muramatsu2017	English
Muramatsu & Koga (2016)	Muramatsu2016	
Muramatsu (2005)	Muramatsu2005	English
Muramatsu (2009)	Muramatsu2009	
Muramatsu (2010)	Muramatsu2010.2	
Muramatsu (2010)	Muramatsu2010.1	
Muramatsu (2011)	Muramatsu2011.2	English
Muramatsu (2011)	Muramatsu2011.1	
Muraoka (1976)	Mauroka1976	Japanese [with English abstract/summary]
Musgrave (1929)	Musgrave1929	English
Mykles (1987)	Mykles1987	
Mykles (1992)	Mykles1992	English
Mykles (1999)	Mykles1999	English
Myrberg (1972)	Myrberg1972	English
Nabout et al. (2010)	Nabout2010.1	
Nabout et al. (2009)	Nabout2009	Portuguese [with English abstract/summary]
Nabout et al. (2010)	Nabout2010.2	
Naderloo et al. (2016)	Naderloo2016	English
Naderloo et al. (2013)	Naderloo2013	English
Naderloo & Türkay (2012)	Naderloo2012	
Naderloo et al. (2010)	Naderloo2010	English
Nagabhushanam (1963)	Nagabhushanam1963	English
Nagabhushanam (1964)	Nagabhushanam1964	English
Nagabhushanam (1966)	Nagabhushanam1966.1	English
Nagabhushanam (1966)	Nagabhushanam1966.2	English
Nagabhushanam (1968)	Nagabhushanam1968.2	
Nagabhushanam (1968)	Nagabhushanam1968.1	
Nagabhushanam (1969)	Nagabhushanam1969	English
Nagabhushanam (1971)	Nagabhushanam1971	
Nagabhushanam & Chinnayya (1968)	Nagabhushanam1968.3	
Nagabhushanam et al. (1979)	Nagabhushanam1979	English
Nagabhushanam & Rao (1967)	Nagabhushanam1967	English [with French abstract/summary]
Nagabhushanam & Sarojini (1968)	Nagabhushanam1968.4	
Nagabhushanam et al. (1994)	Nagabhushanam1994	English
Nagaraju & Reddy (2002)	Nagaraju2002	
Naiditch et al. (2001)	Naiditch2001	English
Naiyanetr (1980)	Naiyanetr1980	
Naiyanetr (2007)	Naiyanetr2007	
Nakasone (1982)	Nakasone1982	
Nakasone et al. (1983)	Nakasone1983.1	
Nakasone & Kawa (1983)	Nakasone1983.2	Japanese [with English abstract/summary]
Nakasone & Murai (1998)	Nakasone1998	
Nakasone & Okadome (1981)	Nakasone1981	
Nakayama & Wada (2015)	Nakayama2015	English
Nammalwar (1977)	Nammalwar1977	English
Nässel et al. (1993)	Nassel1993	English
Nässel et al. (1991)	Nassel1991	
Natálio et al. (2017)	Natalio2017	English
Natunewicz (2000)	Natunewicz2000	English
Nauck (1880)	Nauck1880	German
Navarrete-del-Toro et al. (2015)	NavarretedelToro2015	English
Naylor (1988)	Naylor1988	English
Neck (1987)	Neck1987	English
Neff & Green (1970)	Neff1970	English
Negreiros-Fransozo et al. (2003)	NegreirosFransozo2003	
Negreiros-Fransozo et al. (2009)	NegreirosFransozo2009	
Nehemia & Kochzius (2017)	Nehemia2017	English
Neiman & Barnwell (1997)	Neiman1997	English
Nellaiappan et al. (1989)	Nellaiappan1989	
Nelson & Hedgecock (1980)	Nelson1980	English
Nemec (1939)	Nemec1939	English
Netto & Grangeiro (2009)	Netto2009	
Neuffer et al. (2001)	Neuffer2001	English
Neumann (1878)	Neumann1878	German
Newell (1975)	Newell1975	English
Ng & Davie (2002)	Ng2002	
Ng et al. (2008)	Ng2008	
Ng & Shih (2015)	Ng2015	
Ng & Sivasothi (1999)	Ng1999	
Ng et al. (2001)	Ng2001	English
Ngo-Massou et al. (2012)	NgoMassou2012	
Nhưộng (2003)	Nhuong2003	Vietnamese [with English abstract/summary]
Nickol et al. (2002)	Nickol2002	
Nicolet (1849)	Nicolet1849	Spanish
Nicou (1959)	Nicou1959	French
Nicou (1960)	Nicou1960	French
Nielsen et al. (2003)	Nielsen2003	English
Nieto & McClary (2002)	Nieto2002	English
Nimmo et al. (1971)	Nimmo1971	English
Nixon & Oviatt (1973)	Nixon1973	English
Nobbs (1999)	Nobbs1999.1	English
Nobbs (2003)	Nobbs2003	English
Nobbs & Blamires (2015)	Nobbs2015	English
Nobbs & Blamires (2016)	Nobbs2016	English
Nobbs & Blamires (2017)	Nobbs2017	English
Nobbs & McGuinness (1999)	Nobbs1999.2	English
Nobili (1897)	Nobili1897	Italian
Nobili (1899)	Nobili1899.2	Italian
Nobili (1899)	Nobili1899.3	Italian
Nobili (1899)	Nobili1899.1	Italian
Nobili (1901)	Nobili1901.2	Italian
Nobili (1901)	Nobili1901.1	Italian
Nobili (1901)	Nobili1901.3	Italian
Nobili (1903)	Nobili1903.1	Italian
Nobili (1903)	Nobili1903.2	Italian
Nobili (1906)	Nobili1906.1	Italian
Nobili (1906)	Nobili1906.3	French
Nobili (1906)	Nobili1906.2	French
Nobili (1907)	Nobili1907	Italian
Nobre (1896)	Nobre1896	French
Nobre (1904)	Nobre1904	Portuguese
Nobre (1930)	Nobre1931.2	Portuguese
Nobre (1931)	Nobre1931.1	Portuguese
Nobre (1936)	Nobre1936	Portuguese
Nomann & Pennings (1998)	Nomann1998	
Nösler (1963)	Nosler1963	German
Novak & Salmon (1974)	Novak1974	English
Nunes et al. (2017)	Nunes2017	English
Nunnemacher (1966)	Nunnemacher1966	English
Nutting (1919)	Nutting1919	English
O'Brien (1999)	OBrien1999	English
O'Connor (1987)	OConnor1987	English
O'Connor (1989)	OConnor1989	English
O'Connor (1990)	OConnor1990.2	English
O'Connor (1990)	OConnor1990.1	
O'Connor (1991)	OConnor1991	English
O'Connor (1992)	OConnor1992	
O'Connor (1993)	OConnor1993	
O'Connor (2005)	OConnor2005	
O'Connor & Epifanio (1985)	OConnor1985	
O'Connor & Gregg (1998)	OConnor1998	
O'Connor & Judge (1996)	OConnor1996	English
O'Connor & Judge (1997)	OConnor1997	
O'Connor & Judge (1999)	OConnor1999	
O'Connor & Judge (2004)	OConnor2004	English
O'Connor & Judge (2010)	OConnor2010	
O'Connor & Van (2006)	OConnor2006	
Odhano et al. (2015)	Odhano2015	English
Odon de Buen (1887)	OdondeBuen1887	Spanish
Odum (1957)	Odum1957	English
Odum et al. (1969)	Odum1969	English
Ogburn & Forward (2009)	Ogburn2009	
O'Hara (1973)	OHara1973.2	English
O'Hara (1973)	OHara1973.1	English
Ohno et al. (2006)	Ohno2006.2	Japanese [with English abstract/summary]
Ohno et al. (2006)	Ohno2006	Japanese [with English abstract/summary]
Ohtani (1988)	Ohtani1988	
Ohzono & Miura (2012)	Ohzono2012	Japanese
Ólafsson (1995)	Olafsson1995	
Ólafsson (2003)	Olafsson2003	English
Ólafsson & Ndaro (1997)	Olafsson1997	
Oldendorp (1777)	Oldendorp1777	German
O'Leary & Shields (2017)	OLeary2017	English
Oliva & Tomsic (2014)	Oliva2014	English
Oliveira (1939)	Oliveira1939.2	Portuguese [with English abstract/summary]
Oliveira (1939)	Oliveira1939.1	Portuguese
Oliveira (1939)	Oliveira1939.3	Portuguese
Oliveira (1950)	Oliveira1950	Portuguese
Oliveira & Krau (1953)	Oliveira1953	Portuguese
Oliveira & Moreira (1940)	Oliveira1940	Portuguese
Oliveira & Custódio (1998)	Oliveira1998.1	
Oliveira et al. (2000)	Oliveira2000	
Oliveira et al. (1998)	Oliveira1998.2	
Olivi (1792)	Olivi1792	Italian
Olivier (1811)	Olivier1811	French
Olivier (1811)	Olivier1811.2	French
Olivier et al. (1972)	Olivier1972	Spanish [with English abstract/summary]
Olmos et al. (2001)	Olmos2001	English
Omori & Holthuis (2000)	Omori2000	
Omori & Holthuis (2005)	Omori2005	
Ono (1959)	Ono1959	English
Ono (1962)	Ono1962	English
Ono (1963)	Ono1963	Japanese [with English abstract/summary]
Ono (1965)	Ono1965	English
Ooishi (1970)	Ooishi1970	Japanese
Orr (1955)	Orr1955	English
Ortmann (1894)	Ortmann1894.2	German
Ortmann (1894)	Ortmann1894.1	German
Ortmann (1897)	Ortmann1897	German
Osorio (1887)	Osorio1887	French
Osorio (1888)	Osorio1888	French
Osorio (1889)	Osorio1889.2	Portuguese
Osorio (1889)	Osorio1889	French
Osorio (1891)	Osorio1891	French
Osorio (1895)	Osorio1895.1	Portuguese
Osorio (1895)	Osorio1895.2	Portuguese
Osorio (1898)	Osorio1898	Portuguese
Osorio (1906)	Osorio1906	Portuguese
Osorio (1923)	Osorio1923	Portuguese
Otani et al. (2007)	Otani2007	Japanese [with English abstract/summary]
Otani (1993)	Otani1993.1	Japanese [with English abstract/summary]
Otani (1993)	Otani1993.2	Japanese [with English abstract/summary]
Otani et al. (1997)	Otani1997	
Oufiero et al. (2014)	Oufiero2014	English
Overstreet (1983)	Overstreet1983	English
Ovuru & Dambo (2003)	Ovuru2003	English
Owen (1839)	Owen1839	English
Oyenekan (1995)	Oyenekan1995	English
Packard (1881)	Packard1881	English
Packard (2012)	Packard2012	English
Packard (2013)	Packard2013	English
Painting et al. (2016)	Painting2016	English
Palmer (2004)	Palmer2004	
Palmer (2016)	Palmer2016	English
Palmer (1962)	Palmer1962	English
Palmer (1963)	Palmer1963	English
Palmer (1964)	Palmer1964	English
Palmer (1973)	Palmer1973	English
Palmer (1988)	Palmer1988	
Palmer (1989)	Palmer1989.1	
Palmer (1989)	Palmer1989.2	
Palmer (1990)	Palmer1990.2	
Palmer (1990)	Palmer1990.1	
Palmer (1990)	Palmer1990.3	
Palmer (1991)	Palmer1991	
Palmer (2000)	Palmer2000	
Palmer (2002)	Palmer2002	
Palmer et al. (1999)	Palmer1999	English
Pamatmat (1978)	Pamatmat1978	
Panikkar & Aiyar (1937)	Panikkar1937	English
Panikkar & Aiyar (1939)	Panikkar1939	English
Paoli et al. (2015)	Paoli2015	English
Pardi & Papi (1961)	Pardi1961	English
Parisi (1918)	Parisi1918	Italian
Parisi (1938)	Parisi1938	Italian
Parker et al. (1935)	Parker1935	English
Parra (1787)	Parra1787	Spanish
Passano (1953)	Passano1953	English
Passano (1960)	Passano1960	English
Passano (1960)	Passano1960.2	English
Passano & Jyssum (1963)	Passano1963	English
Paula (1985)	Paula1985	
Paula et al. (2004)	Paula2004	
Paulmier (1905)	Paulmier1905	English
Paul'son (1875)	Paulson1875	Russian
Pawlik et al. (1980)	Pawlik1980	English
Payen (1977)	Payen1977	
Pearse (1912)	Pearse1912.2	English
Pearse (1912)	Pearse1912.1	English
Pearse (1914)	Pearse1914.1	English
Pearse (1914)	Pearse1914.2	English
Pearse (1916)	Pearse1916	English
Pearse (1928)	Pearse1928	English
Pearse (1932)	Pearse1932	English
Pearse (1933)	Pearse1933	English
Pearse (1936)	Pearse1936	English
Pearse (1936)	Pearse1936.2	English
Pearse (1947)	Pearse1947	English
Pearse (1950)	Pearse1950	English
Pearson (1908)	Pearson1908	English
Peck (1994)	Peck1994	
Peer et al. (2015)	Peer2015	English
Peer et al. (2016)	Peer2016.2	English
Peer et al. (2016)	Peer2016	English
Peery et al. (1990)	Peery1990	English
Penha-Lopes et al. (2009)	PenhaLopes2009.1	
Penha-Lopes et al. (2009)	PenhaLopes2009.2	
Pennington (1988)	Pennington1988	English
Pennington et al. (2004)	Pennington2004	
Péqueux et al. (1979)	Pequeux1979	
Pereira Rodrigues de Lira et al. (2015)	PereiraRodrigues2015	English
Perez & Backwell (2017)	Perez2017	English
