Reference	#	Scientific Name	Common Name	Where	Type	Applies to	#	Actual	Source of Actual	Species Notes	General Notes	
Crane1975	92.11	Uca (Celuca) stenodactylus	.	"text p. 134, 211, 216-218, 233, 268, 275-276, 279-280, 282-285, 306, 313, 317, 344-345, 347, 349, 351, 354-355, 357, 365, 367-368, 370, 385, 391, 408, 426, 451-452, 461-462, 464, 498, 500, 504, 511, 575, 587; figures 24K-M, 25D-F, 27K-L, 30C-D, 32D-F, 34D, 35G-H, 36E, 37O, 45S-U,SS-UU, 46P, 47E-F, 48E-F, 52D, 71B, 81L, 101; map 16; plates 38A-D, 50B"	citation	Rathbun1918.2	28.5	=	=	.	.	
Crane1975	92.12	Uca (Celuca) stenodactylus	.	"text p. 134, 211, 216-218, 233, 268, 275-276, 279-280, 282-285, 306, 313, 317, 344-345, 347, 349, 351, 354-355, 357, 365, 367-368, 370, 385, 391, 408, 426, 451-452, 461-462, 464, 498, 500, 504, 511, 575, 587; figures 24K-M, 25D-F, 27K-L, 30C-D, 32D-F, 34D, 35G-H, 36E, 37O, 45S-U,SS-UU, 46P, 47E-F, 48E-F, 52D, 71B, 81L, 101; map 16; plates 38A-D, 50B"	citation	Rathbun1918.2	28.8	=	=	.	.	
Crane1975	92.13	Uca (Celuca) stenodactylus	.	"text p. 134, 211, 216-218, 233, 268, 275-276, 279-280, 282-285, 306, 313, 317, 344-345, 347, 349, 351, 354-355, 357, 365, 367-368, 370, 385, 391, 408, 426, 451-452, 461-462, 464, 498, 500, 504, 511, 575, 587; figures 24K-M, 25D-F, 27K-L, 30C-D, 32D-F, 34D, 35G-H, 36E, 37O, 45S-U,SS-UU, 46P, 47E-F, 48E-F, 52D, 71B, 81L, 101; map 16; plates 38A-D, 50B"	citation	Rathbun1918.2	28.9	=	=	.	.	
Crane1975	92.14	Uca (Celuca) stenodactylus	.	"text p. 134, 211, 216-218, 233, 268, 275-276, 279-280, 282-285, 306, 313, 317, 344-345, 347, 349, 351, 354-355, 357, 365, 367-368, 370, 385, 391, 408, 426, 451-452, 461-462, 464, 498, 500, 504, 511, 575, 587; figures 24K-M, 25D-F, 27K-L, 30C-D, 32D-F, 34D, 35G-H, 36E, 37O, 45S-U,SS-UU, 46P, 47E-F, 48E-F, 52D, 71B, 81L, 101; map 16; plates 38A-D, 50B"	citation	vonHagen1968.2	19	=	=	.	.	
Crane1975	92.15	Uca (Celuca) stenodactylus	.	"text p. 134, 211, 216-218, 233, 268, 275-276, 279-280, 282-285, 306, 313, 317, 344-345, 347, 349, 351, 354-355, 357, 365, 367-368, 370, 385, 391, 408, 426, 451-452, 461-462, 464, 498, 500, 504, 511, 575, 587; figures 24K-M, 25D-F, 27K-L, 30C-D, 32D-F, 34D, 35G-H, 36E, 37O, 45S-U,SS-UU, 46P, 47E-F, 48E-F, 52D, 71B, 81L, 101; map 16; plates 38A-D, 50B"	citation	Bott1954	19	=	=	.	.	
Crane1975	92.16	Uca (Celuca) stenodactylus	.	"text p. 134, 211, 216-218, 233, 268, 275-276, 279-280, 282-285, 306, 313, 317, 344-345, 347, 349, 351, 354-355, 357, 365, 367-368, 370, 385, 391, 408, 426, 451-452, 461-462, 464, 498, 500, 504, 511, 575, 587; figures 24K-M, 25D-F, 27K-L, 30C-D, 32D-F, 34D, 35G-H, 36E, 37O, 45S-U,SS-UU, 46P, 47E-F, 48E-F, 52D, 71B, 81L, 101; map 16; plates 38A-D, 50B"	citation	Peters1955	10	=	=	.	.	
Crane1975	93.01	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	MilneEdwards1873	8	=	=	.	.	
Crane1975	93.02	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	Kingsley1880	32	=	=	.	.	
Crane1975	93.03	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	deMan1892	8	=	=	.	.	
Crane1975	93.04	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	Gordon1934	3	=	=	.	.	
Crane1975	93.05	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	deMan1891	17	=	=	.	.	
Crane1975	93.06	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	Tweedie1937	8	=	=	.	.	
Crane1975	93.07	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	Ortmann1897	20	=	=	.	.	
Crane1975	93.08	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	Ward1941	4	=	=	.	.	
Crane1975	93.09	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	Nobili1899.2	9	=	=	.	.	
Crane1975	93.1	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	Estampador1937	.	=	=	.	.	
Crane1975	93.11	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	Estampador1959	3	=	=	.	.	
Crane1975	93.12	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	Sakai1936	.	=	=	.	.	
Crane1975	93.13	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	Miyake1938	4	=	=	.	.	
Crane1975	93.14	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	Miyake1939	.	=	=	.	.	
Crane1975	93.15	Uca (Celuca) triangularis triangularis	.	"text p. 29-30, 99, 211-213, 215-220, 286-291, 294, 297, 369, 373, 382, 408, 417, 432, 436, 451, 497, 503, 575; figures 50-51, 59B-C, 68D-E, 101; map 7; plate 38F-J"	citation	Tweedie1950.1	9	=	=	.	.	
Crane1975	94.01	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	Heller1865	6.3	=	=	.	.	
Crane1975	94.02	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	Heller1865	6.4	=	=	.	.	
Crane1975	94.03	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	deMan1888	8	=	=	.	.	
Crane1975	94.04	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	Henderson1893	2	=	=	.	.	
Crane1975	94.05	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	deMan1895	9	=	=	.	.	
Crane1975	94.06	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	Alcock1900	6.14	=	=	.	.	
Crane1975	94.07	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	Ortmann1894.1	14.2	=	=	.	.	
Crane1975	94.08	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	Nobili1903.2	2.5	=	=	.	.	
Crane1975	94.09	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	Maccagno1928	15.6	=	=	.	.	
Crane1975	94.1	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	Chopra1937	1	=	=	.	.	
Crane1975	94.11	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	Panikkar1937	.	=	=	.	.	
Crane1975	94.12	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	Altevogt1957.1	4	=	=	.	.	
Crane1975	94.13	Uca (Celuca) triangularis bengali	.	"text p. 288-291, 344, 351, 373, 382, 408, 417, 575; figures 24I-J, 32N-O, 59A, 68C, 101; map 7; plate 38E,K-L"	citation	Feest1969	2	=	=	.	.	
Crane1975	95.001	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	deHaan1835	7	=	=	.	.	
Crane1975	95.002	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	MilneEdwards1837.2	4	=	=	does not specify subspecies	.	
Crane1975	95.003	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	MilneEdwards1852	10	=	=	does not specify subspecies	.	
Crane1975	95.004	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	MilneEdwards1837.2	7.1	=	=	does not specify subspecies	.	
Crane1975	95.005	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	White1847.1	18	=	=	does not specify subspecies	.	
Crane1975	95.006	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Dana1852	3	=	=	does not specify subspecies	.	
Crane1975	95.007	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	MilneEdwards1852	17	=	=	does not specify subspecies	.	
Crane1975	95.008	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Heller1865	4	=	=	does not specify subspecies	.	
Crane1975	95.009	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Hilgendorf1869	5.5	=	=	does not specify subspecies	.	
Crane1975	95.01	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Hoffmann1874	6	=	=	does not specify subspecies	.	
Crane1975	95.011	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Kossmann1877	18	=	=	does not specify subspecies	.	
Crane1975	95.012	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Hilgendorf1878	1	=	=	does not specify subspecies	.	
Crane1975	95.013	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Miers1879.2	2	=	=	does not specify subspecies	.	
Crane1975	95.014	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Kingsley1880	28	=	=	does not specify subspecies	.	
Crane1975	95.015	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Richters1880	2	=	=	does not specify subspecies	.	
Crane1975	95.016	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	deMan1880	5	=	=	does not specify subspecies	.	
Crane1975	95.017	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Miers1880	5	=	=	does not specify subspecies	.	
Crane1975	95.018	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Lenz1881	3	=	=	does not specify subspecies	.	
Crane1975	95.019	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Miers1886	6	=	=	does not specify subspecies	.	
Crane1975	95.02	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	deMan1888	6	=	=	does not specify subspecies	.	
Crane1975	95.021	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	deMan1887.1	3	=	=	does not specify subspecies	.	
Crane1975	95.022	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Pfeffer1889	1	=	=	does not specify subspecies	.	
Crane1975	95.023	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	deMan1891	11	=	=	does not specify subspecies	.	
Crane1975	95.024	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	deMan1892	9	=	=	does not specify subspecies	.	
Crane1975	95.025	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Alcock1892	1	=	=	does not specify subspecies	.	
Crane1975	95.026	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Henderson1893	1	=	=	does not specify subspecies	.	
Crane1975	95.027	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Alcock1894	1	=	=	does not specify subspecies	.	
Crane1975	95.028	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Ortmann1894.1	15	=	=	does not specify subspecies	.	
Crane1975	95.029	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Ortmann1894.2	4	=	=	does not specify subspecies	.	
Crane1975	95.03	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Zehntner1894	1	=	=	does not specify subspecies	.	
Crane1975	95.031	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	deMan1895	7	=	=	does not specify subspecies	.	
Crane1975	95.032	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	Alcock1900	1	=	=	does not specify subspecies	.	
Crane1975	95.033	Uca (Celuca) lactea lactea	.	"text p. 27, 60, 64-65, 85, 88, 99, 105-106, 121, 211-212, 214, 216, 218-219, 278, 284, 286-289, 292-303, 322-324, 340, 371, 383, 408, 431-433, 436-437, 444, 451, 456, 462, 465, 467, 474, 483, 487, 489-491, 494, 497, 500-501, 503, 514-516, 518, 523, 533, 577; figures 19A, 54J,JJ, 69E, 101; map 21; plate 40A-B,E-F"	citation	deMan1902	1	=	=	does not specify subspecies	.	
